product_name,review,rating,polarity,sentiment
TUXEDO JACKET,Nothing special but decent for the price.,3,0.2619047619047619,Positive
SLIM FIT SUIT JACKET,Doesn't look like the pictures.,2,0.0,Neutral
WOOL BLEND COAT,Elegant and fits perfectly. I got compliments!,5,0.75,Positive
BASIC PUFFER JACKET,Great quality for the price. Very comfortable to wear.,4,0.66,Positive
SLIM FIT SUIT JACKET,Looks even better in person. Great purchase!,4,0.75,Positive
DENIM JACKET,Great quality for the price. Very comfortable to wear.,4,0.66,Positive
WOOL BLEND COAT,"Does the job, nothing more.",3,0.5,Positive
DENIM JACKET,Elegant and fits perfectly. I got compliments!,5,0.75,Positive
TUXEDO JACKET,Looks even better in person. Great purchase!,5,0.75,Positive
WOOL BLEND COAT,Elegant and fits perfectly. I got compliments!,5,0.75,Positive
BASIC PUFFER JACKET,Average material. Expected more from Zara.,3,0.08333333333333333,Neutral
STRETCH SUIT JACKET,Absolutely love this jacket. It's warm and stylish!,5,0.5750000000000001,Positive
TUXEDO JACKET,Elegant and fits perfectly. I got compliments!,5,0.75,Positive
TRENCH COAT,Nothing special but decent for the price.,3,0.2619047619047619,Positive
TRENCH COAT,Looks nice but the fit is a bit off for my size.,3,0.5,Positive
TUXEDO JACKET,Good but not extraordinary.,3,0.26666666666666666,Positive
TRENCH COAT,High-end quality at an affordable price.,4,0.0,Neutral
WOOL BLEND COAT,Very flattering fit. Will buy again!,4,0.35,Positive
TUXEDO JACKET,Returned it immediately. Awful fit.,2,-0.3,Negative
DOUBLE FACED JACKET,Elegant and fits perfectly. I got compliments!,4,0.75,Positive
SLIM FIT SUIT JACKET,High-end quality at an affordable price.,5,0.0,Neutral
STRETCH SUIT JACKET,High-end quality at an affordable price.,4,0.0,Neutral
DENIM JACKET,This exceeded my expectations. Beautiful fit and feel!,4,0.675,Positive
TUXEDO JACKET,This exceeded my expectations. Beautiful fit and feel!,5,0.675,Positive
TRENCH COAT,Nothing special but decent for the price.,3,0.2619047619047619,Positive
SLIM FIT SUIT JACKET,Great quality for the price. Very comfortable to wear.,4,0.66,Positive
WOOL BLEND COAT,Elegant and fits perfectly. I got compliments!,5,0.75,Positive
TUXEDO JACKET,High-end quality at an affordable price.,5,0.0,Neutral
TRENCH COAT,Too bulky and not flattering on me.,2,0.0,Neutral
SLIM FIT SUIT JACKET,Good but not extraordinary.,3,0.26666666666666666,Positive
TRENCH COAT,Terrible smell and poor stitching. I returned it.,2,-0.7,Negative
DENIM JACKET,Returned it immediately. Awful fit.,1,-0.3,Negative
TUXEDO JACKET,Looks even better in person. Great purchase!,5,0.75,Positive
BASIC PUFFER JACKET,Doesn't look like the pictures.,2,0.0,Neutral
STRETCH SUIT JACKET,Doesn't look like the pictures.,2,0.0,Neutral
DENIM JACKET,Doesn't look like the pictures.,2,0.0,Neutral
DENIM JACKET,High-end quality at an affordable price.,5,0.0,Neutral
WOOL BLEND COAT,High-end quality at an affordable price.,4,0.0,Neutral
TRENCH COAT,Looks even better in person. Great purchase!,5,0.75,Positive
DENIM JACKET,Impressed by the fabric and design. Zara nailed it!,4,1.0,Positive
BASIC PUFFER JACKET,Good but not extraordinary.,3,0.26666666666666666,Positive
TRENCH COAT,Good but not extraordinary.,3,0.26666666666666666,Positive
WOOL BLEND COAT,Looks even better in person. Great purchase!,4,0.75,Positive
BLAZER WITH BELT,"Does the job, nothing more.",3,0.5,Positive
STRETCH SUIT JACKET,Too bulky and not flattering on me.,1,0.0,Neutral
TUXEDO JACKET,Elegant and fits perfectly. I got compliments!,5,0.75,Positive
STRETCH SUIT JACKET,"Does the job, nothing more.",3,0.5,Positive
TUXEDO JACKET,Standard product. Works fine.,3,0.20833333333333334,Positive
DENIM JACKET,Elegant and fits perfectly. I got compliments!,4,0.75,Positive
BLAZER WITH BELT,Elegant and fits perfectly. I got compliments!,4,0.75,Positive
STRETCH SUIT JACKET,Low quality fabric. Disappointed.,1,-0.375,Negative
SLIM FIT SUIT JACKET,Great quality for the price. Very comfortable to wear.,5,0.66,Positive
BASIC PUFFER JACKET,Neutral feeling about it. Just okay.,3,0.5,Positive
PADDED BOMBER,Low quality fabric. Disappointed.,1,-0.375,Negative
DENIM JACKET,High-end quality at an affordable price.,5,0.0,Neutral
PADDED BOMBER,Good but not extraordinary.,3,0.26666666666666666,Positive
STRETCH SUIT JACKET,The product arrived damaged. Very upset.,1,0.2,Positive
SLIM FIT SUIT JACKET,This exceeded my expectations. Beautiful fit and feel!,5,0.675,Positive
STRETCH SUIT JACKET,Looks nice but the fit is a bit off for my size.,3,0.5,Positive
DOUBLE FACED JACKET,Very flattering fit. Will buy again!,4,0.35,Positive
TUXEDO JACKET,Impressed by the fabric and design. Zara nailed it!,5,1.0,Positive
PADDED BOMBER,Very flattering fit. Will buy again!,4,0.35,Positive
TRENCH COAT,Looks even better in person. Great purchase!,5,0.75,Positive
STRETCH SUIT JACKET,Perfect for formal events. Looks sharp and classy.,5,0.325,Positive
SLIM FIT SUIT JACKET,Nothing special but decent for the price.,3,0.2619047619047619,Positive
WOOL BLEND COAT,Perfect for formal events. Looks sharp and classy.,4,0.325,Positive
DOUBLE FACED JACKET,Perfect for formal events. Looks sharp and classy.,4,0.325,Positive
STRETCH SUIT JACKET,Great quality for the price. Very comfortable to wear.,4,0.66,Positive
DENIM JACKET,Terrible smell and poor stitching. I returned it.,2,-0.7,Negative
BASIC PUFFER JACKET,Elegant and fits perfectly. I got compliments!,4,0.75,Positive
BLAZER WITH BELT,Perfect for formal events. Looks sharp and classy.,5,0.325,Positive
DOUBLE FACED JACKET,Average material. Expected more from Zara.,3,0.08333333333333333,Neutral
BLAZER WITH BELT,The product arrived damaged. Very upset.,1,0.2,Positive
TUXEDO JACKET,Doesn't look like the pictures.,1,0.0,Neutral
BLAZER WITH BELT,Average material. Expected more from Zara.,3,0.08333333333333333,Neutral
BLAZER WITH BELT,This exceeded my expectations. Beautiful fit and feel!,5,0.675,Positive
TUXEDO JACKET,Very flattering fit. Will buy again!,5,0.35,Positive
PADDED BOMBER,Returned it immediately. Awful fit.,2,-0.3,Negative
DOUBLE FACED JACKET,"Does the job, nothing more.",3,0.5,Positive
BLAZER WITH BELT,"It's okay. Not bad, not amazing either.",3,0.18333333333333326,Positive
SLIM FIT SUIT JACKET,Elegant and fits perfectly. I got compliments!,4,0.75,Positive
DENIM JACKET,Standard product. Works fine.,3,0.20833333333333334,Positive
WOOL BLEND COAT,Great quality for the price. Very comfortable to wear.,5,0.66,Positive
BASIC PUFFER JACKET,Great quality for the price. Very comfortable to wear.,5,0.66,Positive
TUXEDO JACKET,Looks even better in person. Great purchase!,5,0.75,Positive
TUXEDO JACKET,"Color was different from the photo, but still acceptable.",3,0.0,Neutral
SLIM FIT SUIT JACKET,"Does the job, nothing more.",3,0.5,Positive
DENIM JACKET,Nothing special but decent for the price.,3,0.2619047619047619,Positive
BLAZER WITH BELT,High-end quality at an affordable price.,4,0.0,Neutral
TRENCH COAT,Perfect for formal events. Looks sharp and classy.,4,0.325,Positive
STRETCH SUIT JACKET,Looks even better in person. Great purchase!,5,0.75,Positive
TRENCH COAT,Returned it immediately. Awful fit.,2,-0.3,Negative
STRETCH SUIT JACKET,Perfect for formal events. Looks sharp and classy.,5,0.325,Positive
SLIM FIT SUIT JACKET,Great quality for the price. Very comfortable to wear.,5,0.66,Positive
WOOL BLEND COAT,Elegant and fits perfectly. I got compliments!,4,0.75,Positive
BLAZER WITH BELT,Absolutely love this jacket. It's warm and stylish!,4,0.5750000000000001,Positive
TRENCH COAT,Doesn't look like the pictures.,2,0.0,Neutral
STRETCH SUIT JACKET,Terrible smell and poor stitching. I returned it.,2,-0.7,Negative
TUXEDO JACKET,Neutral feeling about it. Just okay.,3,0.5,Positive
SLIM FIT SUIT JACKET,Moderately satisfied.,3,0.5,Positive
TUXEDO JACKET,The product arrived damaged. Very upset.,1,0.2,Positive
DOUBLE FACED JACKET,Absolutely love this jacket. It's warm and stylish!,4,0.5750000000000001,Positive
BLAZER WITH BELT,Too bulky and not flattering on me.,2,0.0,Neutral
PADDED BOMBER,Good but not extraordinary.,3,0.26666666666666666,Positive
SLIM FIT SUIT JACKET,Too bulky and not flattering on me.,1,0.0,Neutral
PADDED BOMBER,Perfect for formal events. Looks sharp and classy.,5,0.325,Positive
BASIC PUFFER JACKET,So chic and fashionable. Highly recommended!,4,0.2,Positive
BLAZER WITH BELT,Elegant and fits perfectly. I got compliments!,4,0.75,Positive
TUXEDO JACKET,Average material. Expected more from Zara.,3,0.08333333333333333,Neutral
PADDED BOMBER,Neutral feeling about it. Just okay.,3,0.5,Positive
DENIM JACKET,Looks nice but the fit is a bit off for my size.,3,0.5,Positive
SLIM FIT SUIT JACKET,Looks even better in person. Great purchase!,5,0.75,Positive
DOUBLE FACED JACKET,So chic and fashionable. Highly recommended!,5,0.2,Positive
SLIM FIT SUIT JACKET,This exceeded my expectations. Beautiful fit and feel!,4,0.675,Positive
PADDED BOMBER,Not worth the money. Poor quality.,1,-0.275,Negative
PADDED BOMBER,So chic and fashionable. Highly recommended!,5,0.2,Positive
TRENCH COAT,Great quality for the price. Very comfortable to wear.,5,0.66,Positive
DOUBLE FACED JACKET,Elegant and fits perfectly. I got compliments!,4,0.75,Positive
SLIM FIT SUIT JACKET,Low quality fabric. Disappointed.,1,-0.375,Negative
BASIC PUFFER JACKET,Very flattering fit. Will buy again!,5,0.35,Positive
BASIC PUFFER JACKET,Very flattering fit. Will buy again!,5,0.35,Positive
BLAZER WITH BELT,Impressed by the fabric and design. Zara nailed it!,4,1.0,Positive
DENIM JACKET,Average material. Expected more from Zara.,3,0.08333333333333333,Neutral
DOUBLE FACED JACKET,Impressed by the fabric and design. Zara nailed it!,4,1.0,Positive
BASIC PUFFER JACKET,"Does the job, nothing more.",3,0.5,Positive
SLIM FIT SUIT JACKET,Looks nice but the fit is a bit off for my size.,3,0.5,Positive
TUXEDO JACKET,Moderately satisfied.,3,0.5,Positive
DOUBLE FACED JACKET,The product arrived damaged. Very upset.,1,0.2,Positive
BLAZER WITH BELT,Too bulky and not flattering on me.,1,0.0,Neutral
PADDED BOMBER,Nothing special but decent for the price.,3,0.2619047619047619,Positive
TRENCH COAT,Returned it immediately. Awful fit.,1,-0.3,Negative
SLIM FIT SUIT JACKET,So chic and fashionable. Highly recommended!,4,0.2,Positive
BLAZER WITH BELT,Impressed by the fabric and design. Zara nailed it!,5,1.0,Positive
SLIM FIT SUIT JACKET,Impressed by the fabric and design. Zara nailed it!,4,1.0,Positive
SLIM FIT SUIT JACKET,Impressed by the fabric and design. Zara nailed it!,4,1.0,Positive
STRETCH SUIT JACKET,Elegant and fits perfectly. I got compliments!,4,0.75,Positive
BASIC PUFFER JACKET,Looks nice but the fit is a bit off for my size.,3,0.5,Positive
SLIM FIT SUIT JACKET,Perfect for formal events. Looks sharp and classy.,4,0.325,Positive
SLIM FIT SUIT JACKET,"Color was different from the photo, but still acceptable.",3,0.0,Neutral
DENIM JACKET,I regret this purchase completely.,1,0.1,Neutral
DOUBLE FACED JACKET,Perfect for formal events. Looks sharp and classy.,4,0.325,Positive
BASIC PUFFER JACKET,Neutral feeling about it. Just okay.,3,0.5,Positive
DOUBLE FACED JACKET,Impressed by the fabric and design. Zara nailed it!,5,1.0,Positive
DENIM JACKET,Faded after one wash. Waste of money.,1,-0.2,Negative
BLAZER WITH BELT,Standard product. Works fine.,3,0.20833333333333334,Positive
STRETCH SUIT JACKET,"It's okay. Not bad, not amazing either.",3,0.18333333333333326,Positive
STRETCH SUIT JACKET,The product arrived damaged. Very upset.,2,0.2,Positive
DOUBLE FACED JACKET,Looks even better in person. Great purchase!,4,0.75,Positive
SLIM FIT SUIT JACKET,Terrible smell and poor stitching. I returned it.,2,-0.7,Negative
TUXEDO JACKET,Material feels cheap and it wrinkles easily. Not happy.,2,0.0,Neutral
STRETCH SUIT JACKET,Low quality fabric. Disappointed.,1,-0.375,Negative
BASIC PUFFER JACKET,Looks even better in person. Great purchase!,4,0.75,Positive
DENIM JACKET,Neutral feeling about it. Just okay.,3,0.5,Positive
SLIM FIT SUIT JACKET,Low quality fabric. Disappointed.,2,-0.375,Negative
TRENCH COAT,So chic and fashionable. Highly recommended!,5,0.2,Positive
TRENCH COAT,Perfect for formal events. Looks sharp and classy.,5,0.325,Positive
STRETCH SUIT JACKET,Material feels cheap and it wrinkles easily. Not happy.,1,0.0,Neutral
SLIM FIT SUIT JACKET,Impressed by the fabric and design. Zara nailed it!,4,1.0,Positive
DOUBLE FACED JACKET,Moderately satisfied.,3,0.5,Positive
DOUBLE FACED JACKET,Nothing special but decent for the price.,3,0.2619047619047619,Positive
BASIC PUFFER JACKET,Average material. Expected more from Zara.,3,0.08333333333333333,Neutral
DOUBLE FACED JACKET,High-end quality at an affordable price.,4,0.0,Neutral
TRENCH COAT,Very flattering fit. Will buy again!,5,0.35,Positive
PADDED BOMBER,Looks even better in person. Great purchase!,5,0.75,Positive
TRENCH COAT,Terrible smell and poor stitching. I returned it.,2,-0.7,Negative
SLIM FIT SUIT JACKET,High-end quality at an affordable price.,5,0.0,Neutral
BLAZER WITH BELT,"It's okay. Not bad, not amazing either.",3,0.18333333333333326,Positive
BLAZER WITH BELT,Standard product. Works fine.,3,0.20833333333333334,Positive
DOUBLE FACED JACKET,So chic and fashionable. Highly recommended!,4,0.2,Positive
